indice_tiempo,tipo_cambio_real_multilateral_actual,tipo_cambio_real_brasil,tipo_cambio_real_canada,tipo_cambio_real_chile,tipo_cambio_real_estados_unidos,tipo_cambio_real_mexico,tipo_cambio_real_uruguay,tipo_cambio_real_china,tipo_cambio_real_india,tipo_cambio_real_japon,tipo_cambio_real_reino_unido,tipo_cambio_real_suiza,tipo_cambio_real_zona_euro,tipo_cambio_real_vietnam
2003-03-12,151.5333356199788,125.45647786893143,180.31203462277963,146.84088695293684,181.32368931192894,223.20185754030427,95.75156587997333,134.35525495095192,128.9159944815202,124.94257272296414,190.56660388470723,168.64119181281714,192.858796932516,122.31935384482827
2003-03-13,152.02638836271146,128.1041348128252,179.82694820478326,149.97116133323038,181.88207792567798,224.24245150113896,96.07939642297907,133.99437337314066,128.74591180412804,123.77373103491996,189.62547863251837,165.89691487447138,189.68614479438983,122.6630668965162
2003-03-14,151.48458701093455,127.04837712938627,180.95583891299296,150.81961597940386,181.85743550779642,223.20769490273582,96.09944670455853,134.42932069052333,129.2881225188187,124.14376623063953,187.59809519189244,164.93987106334478,188.66763799509056,122.55790128537274
2003-03-15,151.4867744554689,127.07458261425452,180.9388009355395,150.84778177980743,181.83279642860973,223.21100390195375,96.11950117032116,134.30550618512706,129.29178618066894,124.17022647457524,187.58422504214278,164.9304141127778,188.66753315808916,122.51233636441908
2003-03-16,151.48896193159004,127.10079350436644,180.92176456230436,150.87595284021853,181.80816068766552,223.2143129502267,96.13955982114008,134.1818057175885,129.29544994633702,124.1966923582988,187.57035591788892,164.92095770443214,188.66742832114602,122.4667883837198
2003-03-17,149.94476946052947,126.01855349284854,178.95653514272428,149.83338084684925,180.61824925704676,224.52425721731674,95.37535353199583,133.1647268222606,128.41039202549564,123.33286097550453,184.5894848126906,161.83964427419488,185.20737579010037,121.62468981725605
2003-03-18,148.0458831705341,124.52678738528863,176.94130196543284,148.79041418758973,178.2635357721822,220.22046521249666,93.83427065653973,131.55985804470552,126.98490692360424,121.2671973509838,181.49748600780939,159.45395849565335,182.81750161294948,120.0340248772408
2003-03-19,145.0773973082392,121.59793604160764,173.7282307312711,145.53334630610786,175.32697538595968,216.88523272369778,92.15943923710375,129.45349275785293,125.09677303341014,117.8245667116603,178.40442559815418,156.11810979595137,179.11872680543996,117.9752958010382
2003-03-20,145.94507162026483,122.07874291721046,174.8897116098616,145.84621777229927,176.4680265463863,218.18811604352578,93.11670518817753,129.34867506788873,124.87688440102474,118.70284349973834,180.0364221556168,157.4065964169245,180.87150318830038,118.68813707244462
2003-03-21,146.3805666829859,124.38554210428426,173.1158446114576,147.76652361320106,175.86179383432,219.95939373538238,92.82865023711673,129.9181640534354,125.78755850967691,117.06859965155444,179.19981962186765,155.53458702190025,179.01677804405858,118.24096602250656
2003-03-22,146.38268042522756,124.41119834260147,173.09954481215274,147.7941192438052,175.8379670787513,219.9626545793339,92.84802213832755,129.79850449448176,125.79112297538629,117.09355188071622,179.18657040240885,155.52566933031102,179.0166785697534,118.19700606387646
2003-03-23,146.38479419799174,124.43685987287263,173.0832465475627,147.8217200279367,175.8141435513668,219.96591547162657,92.86739808215398,129.67895514652244,125.79468754210254,117.11850942824468,179.17332216253698,155.51675215002422,179.01657909550343,118.1530624488033
2003-03-24,145.4230856626464,123.33495352881327,172.80762380486803,146.16962610665271,174.04406176247372,216.35877330029027,91.80332544174352,128.4130121404654,124.66782850880816,116.95476709242966,178.74131352726226,155.95539143204684,179.2405762076451,116.93586561652994
2003-03-25,143.35221685080336,122.34204628820424,170.12039275285838,144.6956348130137,171.1104397905431,214.3128026756179,90.28639508023987,125.43663673942743,122.00880320606284,115.42254531243603,175.29329510474207,153.2500128792391,176.02805214057807,114.93023000730815
2003-03-26,141.36653904257216,120.09620489453206,168.50880338730144,142.7920681471154,168.7595389961732,210.9084388705769,89.07663553868363,123.59126082531384,120.38302124757693,114.04069358050675,173.11553717357233,151.50661367531316,174.38375578602717,113.3280728918927
2003-03-27,140.35540686781465,119.4689992193357,167.97050116698176,141.49567690670423,167.57297329105472,209.90607234165165,87.71286962722762,122.19504455171986,119.25856964189374,113.4088304627521,170.9259649924211,150.11610205231182,173.14859723739943,112.4646237623057
2003-03-28,145.9186972425376,124.37872898374049,173.0776499550033,146.81532131393084,173.3679872447918,216.96491568158763,91.41237400298027,125.9748417518387,123.01112792682572,117.5880576834029,178.20383965046608,157.19360321488128,180.9550587778888,116.37532108839135
2003-03-29,145.9208043153629,124.40438381675732,173.0613537519332,146.8427393060101,173.3444983643166,216.96813213313783,91.4314503492818,125.85881414235773,123.01461371629931,117.61312063086048,178.19066406923542,157.1845904023608,180.95495822653854,116.3320547444777
2003-03-30,145.92291141861443,124.43004394143829,173.04505908323944,146.87016241844245,173.3210126662485,216.97134863237127,91.45053067652131,125.74289339870785,123.0180996045504,117.6381889202835,178.17748946214738,157.17557810659665,180.95485767524417,116.28880448624696
2003-03-31,145.9250185522926,124.45570935887486,173.02876594877742,146.89759065218414,173.29753015015626,216.97456517928845,91.4696149855295,125.62707942246153,123.02158559158173,117.66326255281047,178.16431582912983,157.1665663275592,180.95475712400568,116.2455703077188
2003-04-01,145.99711981530697,125.52581491597643,171.58033249754794,145.88827515148114,172.10932431978256,215.77811581386382,90.2515698004775,126.31991440829002,124.04764131344992,118.13872983562355,176.87233771990762,157.13020610795678,181.02921292341335,115.448270677302
2003-04-02,143.3689846700157,124.98211298073998,168.16368346809423,143.51936594314742,168.59599973386372,212.92322427382405,88.44779161621256,123.98455316905704,122.06390804919744,115.25767551446623,172.09313896719814,151.6970540856826,175.61942196313973,113.12792808807795
2003-04-03,143.33682374507,125.3277020711611,167.6667865009486,143.9057271104553,168.57138126326657,212.3823997955318,89.24898905395405,122.94232094895435,120.96653669758494,114.70156568492948,172.65855079727322,151.46250194412377,175.21743155280964,113.09284723168697
2003-04-04,143.69974914631726,126.73044009648898,168.09240264873665,143.75538139357113,168.54676638747063,211.18173502689646,89.90563498950281,123.02361948770466,121.10298498412007,114.40527416937853,171.6842939097895,150.93404519946768,175.01128479593584,113.09436801798255
2003-04-05,143.71231760416808,126.76882531237374,168.05105737521168,143.74815461495342,168.52215510595093,211.1897451729621,89.93230217081111,123.01165260231778,121.14768204400148,114.44479587169285,171.6998008159028,150.94110191299634,175.01732516976793,113.09222959255374
2003-04-06,143.72488716129803,126.8072221547059,168.00972227128165,143.74092819963576,168.49754741818265,211.19775562285346,89.9589772619524,122.99968688098657,121.19239560081041,114.48433122691753,171.71530912263427,150.94815895645198,175.02336575207866,113.09009120755898
2003-04-07,144.05703298385916,128.93093880859007,167.00416385719598,144.84264808253644,168.472943323641,211.55093125827742,90.30410638588744,122.60336311696369,120.81018296833896,114.14025531526545,170.52067212470914,149.68089824855474,173.4296227486949,113.05868768790197
2003-04-08,144.857689893766,128.8007690337781,169.6382868311099,145.08576120383367,169.61005553091715,212.0853127708149,90.47344306643446,123.26939335127803,121.54875646140299,115.33095781311785,171.71218478461176,151.67511167593887,175.6015271015896,113.81047964823219
2003-04-09,145.39066628590734,129.44862854287038,169.6891190215514,144.36309048631136,169.58528898739502,211.70130760739661,90.81979393351124,123.65691202796077,121.8493257905725,115.40397497677775,173.16799100003814,152.57192084439313,177.0048212990942,113.81200841737757
2003-04-10,143.29479683229954,125.93555137265393,169.12676548882698,142.71054863670705,167.81846586104612,210.09968639087384,89.91343573396318,122.64236213049021,121.1086329355649,114.51460172607976,172.1719938599011,150.31478926338914,175.32248277330933,112.65150704086881
2003-04-11,144.038918217749,127.19719660499344,170.1493965470961,143.8836278555964,168.37456286724813,213.2770935346473,90.25100277260944,122.40740639987122,121.0720604360909,114.23166045236404,172.8934025583324,150.37586462419034,175.62500202914327,113.0355111252853
2003-04-12,144.05151634045453,127.23572319614155,170.10754531985742,143.87639462985456,168.34997673097092,213.2851831578879,90.27777239449657,122.39549945542433,121.11674608224561,114.2711221792123,172.90901867381993,150.38289524075452,175.6310635849324,113.03337381274193
2003-04-13,144.06411556503375,127.2742614565581,170.06570438666185,143.8691617677369,168.32539418477344,213.29327308796886,90.30454995660195,122.38359366920254,121.16144822111522,114.31059753825217,172.92463619978957,150.38992618602555,175.63712534993132,113.0312365406116
2003-04-14,146.18120149481416,130.37631647297997,171.5936329027008,145.36384351961212,170.04185814428445,214.90032289836662,91.26662131145018,123.82121783276497,122.59304953441297,115.63193172908755,174.95173566045318,152.1277336244071,177.72414072427893,114.18359341108373
2003-04-15,148.37971918302634,134.3605639130959,173.41440271006354,146.78685849771423,171.17755434087442,216.5793603904485,91.91622532443702,125.29418469202346,124.14034810117239,116.60747251240839,175.93787333685196,153.15126097165697,179.57464449639036,114.94967762403006
2003-04-16,148.04987790091718,134.1402553992286,171.4267013519182,146.67221051921516,169.99220257881103,215.66656093122435,91.32077107614641,124.38016979245663,123.1803326626421,116.58124299491496,175.42830831904493,154.23912082258252,179.9636822428217,114.16819900513522
2003-04-17,148.06282683549276,134.1808849642993,171.38453594916834,146.66483710762867,169.96738023398956,215.67474118722194,91.34785800523362,124.36807095125442,123.2257964363547,116.62151639327469,175.4441533928415,154.24633206037268,179.96989354467127,114.16604027535769
2003-04-18,148.07577690262514,134.22152683560535,171.34238091773855,146.65746406671366,169.94256151373904,215.68292175349757,91.37495296865647,124.35597328694365,123.27127698997586,116.66180370422084,175.45999989780032,154.25354363531434,179.9761050608989,114.16388158639812
