"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","M1","TOT","IDX2015","A","1961",0.49132,
"AUS","M1","TOT","IDX2015","A","1962",0.5005404,
"AUS","M1","TOT","IDX2015","A","1963",0.5179597,
"AUS","M1","TOT","IDX2015","A","1964",0.5574105,
"AUS","M1","TOT","IDX2015","A","1965",0.5609266,
"AUS","M1","TOT","IDX2015","A","1966",0.572002,
"AUS","M1","TOT","IDX2015","A","1967",0.611172,
"AUS","M1","TOT","IDX2015","A","1968",0.6546033,
"AUS","M1","TOT","IDX2015","A","1969",0.7069017,
"AUS","M1","TOT","IDX2015","A","1970",0.7509555,
"AUS","M1","TOT","IDX2015","A","1971",0.787248,
"AUS","M1","TOT","IDX2015","A","1972",0.8714138,
"AUS","M1","TOT","IDX2015","A","1973",1.072712,
"AUS","M1","TOT","IDX2015","A","1974",1.118157,
"AUS","M1","TOT","IDX2015","A","1975",1.304893,
"AUS","M1","TOT","IDX2015","A","1976",1.497249,
"AUS","M1","TOT","IDX2015","A","1977",1.624,
"AUS","M1","TOT","IDX2015","A","1978",1.762329,
"AUS","M1","TOT","IDX2015","A","1979",2.043254,
"AUS","M1","TOT","IDX2015","A","1980",2.338194,
"AUS","M1","TOT","IDX2015","A","1981",2.581946,
"AUS","M1","TOT","IDX2015","A","1982",2.638619,
"AUS","M1","TOT","IDX2015","A","1983",2.799495,
"AUS","M1","TOT","IDX2015","A","1984",3.101748,
"AUS","M1","TOT","IDX2015","A","1985",3.443002,
"AUS","M1","TOT","IDX2015","A","1986",3.701379,
"AUS","M1","TOT","IDX2015","A","1987",4.353416,
"AUS","M1","TOT","IDX2015","A","1988",5.154143,
"AUS","M1","TOT","IDX2015","A","1989",5.946947,
"AUS","M1","TOT","IDX2015","A","1990",6.173028,
"AUS","M1","TOT","IDX2015","A","1991",6.69222,
"AUS","M1","TOT","IDX2015","A","1992",7.869544,
"AUS","M1","TOT","IDX2015","A","1993",9.283916,
"AUS","M1","TOT","IDX2015","A","1994",10.76106,
"AUS","M1","TOT","IDX2015","A","1995",11.26075,
"AUS","M1","TOT","IDX2015","A","1996",12.62576,
"AUS","M1","TOT","IDX2015","A","1997",14.42039,
"AUS","M1","TOT","IDX2015","A","1998",15.87924,
"AUS","M1","TOT","IDX2015","A","1999",17.13457,
"AUS","M1","TOT","IDX2015","A","2000",18.76832,
"AUS","M1","TOT","IDX2015","A","2001",21.59706,
"AUS","M1","TOT","IDX2015","A","2002",28.34961,
"AUS","M1","TOT","IDX2015","A","2003",32.18628,
"AUS","M1","TOT","IDX2015","A","2004",34.84988,
"AUS","M1","TOT","IDX2015","A","2005",38.09056,
"AUS","M1","TOT","IDX2015","A","2006",42.13625,
"AUS","M1","TOT","IDX2015","A","2007",47.79374,
"AUS","M1","TOT","IDX2015","A","2008",51.47074,
"AUS","M1","TOT","IDX2015","A","2009",59.51091,
"AUS","M1","TOT","IDX2015","A","2010",61.22571,
"AUS","M1","TOT","IDX2015","A","2011",64.81801,
"AUS","M1","TOT","IDX2015","A","2012",67.81251,
"AUS","M1","TOT","IDX2015","A","2013",77.31946,
"AUS","M1","TOT","IDX2015","A","2014",87.21153,
"AUS","M1","TOT","IDX2015","A","2015",100,
"AUS","M1","TOT","IDX2015","A","2016",109.8305,
"AUS","M1","TOT","IDX2015","A","2017",120.1656,
"AUS","M1","TOT","IDX2015","A","2018",126.9456,
"AUS","M1","TOT","IDX2015","A","2019",140.4531,
"AUS","M1","TOT","IDX2015","A","2020",181.7277,
"AUS","M1","TOT","IDX2015","A","2021",218.1169,
"CAN","M1","TOT","IDX2015","A","1955",1.112291,
"CAN","M1","TOT","IDX2015","A","1956",1.123932,
"CAN","M1","TOT","IDX2015","A","1957",1.105941,
"CAN","M1","TOT","IDX2015","A","1958",1.211773,
"CAN","M1","TOT","IDX2015","A","1959",1.241405,
"CAN","M1","TOT","IDX2015","A","1960",1.256222,
"CAN","M1","TOT","IDX2015","A","1961",1.322896,
"CAN","M1","TOT","IDX2015","A","1962",1.367345,
"CAN","M1","TOT","IDX2015","A","1963",1.444602,
"CAN","M1","TOT","IDX2015","A","1964",1.520801,
"CAN","M1","TOT","IDX2015","A","1965",1.618166,
"CAN","M1","TOT","IDX2015","A","1966",1.727173,
"CAN","M1","TOT","IDX2015","A","1967",1.896504,
"CAN","M1","TOT","IDX2015","A","1968",1.985402,
"CAN","M1","TOT","IDX2015","A","1969",2.1251,
"CAN","M1","TOT","IDX2015","A","1970",2.179074,
"CAN","M1","TOT","IDX2015","A","1971",2.457412,
"CAN","M1","TOT","IDX2015","A","1972",2.832056,
"CAN","M1","TOT","IDX2015","A","1973",3.247974,
"CAN","M1","TOT","IDX2015","A","1974",3.549594,
"CAN","M1","TOT","IDX2015","A","1975",4.007369,
"CAN","M1","TOT","IDX2015","A","1976",4.317848,
"CAN","M1","TOT","IDX2015","A","1977",4.685973,
"CAN","M1","TOT","IDX2015","A","1978",5.148023,
"CAN","M1","TOT","IDX2015","A","1979",5.464259,
"CAN","M1","TOT","IDX2015","A","1980",5.890898,
"CAN","M1","TOT","IDX2015","A","1981",6.228649,
"CAN","M1","TOT","IDX2015","A","1982",6.454484,
"CAN","M1","TOT","IDX2015","A","1983",7.379314,
"CAN","M1","TOT","IDX2015","A","1984",8.068068,
"CAN","M1","TOT","IDX2015","A","1985",10.01189,
"CAN","M1","TOT","IDX2015","A","1986",11.96307,
"CAN","M1","TOT","IDX2015","A","1987",13.53058,
"CAN","M1","TOT","IDX2015","A","1988",13.92445,
"CAN","M1","TOT","IDX2015","A","1989",14.83465,
"CAN","M1","TOT","IDX2015","A","1990",15.6148,
"CAN","M1","TOT","IDX2015","A","1991",16.37168,
"CAN","M1","TOT","IDX2015","A","1992",17.06007,
"CAN","M1","TOT","IDX2015","A","1993",17.93626,
"CAN","M1","TOT","IDX2015","A","1994",19.4368,
"CAN","M1","TOT","IDX2015","A","1995",19.58873,
"CAN","M1","TOT","IDX2015","A","1996",21.19353,
"CAN","M1","TOT","IDX2015","A","1997",23.55716,
"CAN","M1","TOT","IDX2015","A","1998",25.11985,
"CAN","M1","TOT","IDX2015","A","1999",26.52283,
"CAN","M1","TOT","IDX2015","A","2000",29.28147,
"CAN","M1","TOT","IDX2015","A","2001",32.19206,
"CAN","M1","TOT","IDX2015","A","2002",35.36032,
"CAN","M1","TOT","IDX2015","A","2003",36.72045,
"CAN","M1","TOT","IDX2015","A","2004",39.72519,
"CAN","M1","TOT","IDX2015","A","2005",42.2633,
"CAN","M1","TOT","IDX2015","A","2006",45.79271,
